fpl_code,understat_id,match_method,confidence,verified_by,verified_ts
489706,13038,exact_normalised_name_team,high,,
530318,11033,exact_normalised_name_team,high,,
231747,5735,exact_normalised_name_team,high,,
205533,6482,exact_normalised_name_team,high,,
199670,3697,exact_normalised_name_team,high,,
590014,13777,exact_normalised_name_team,high,,
651426,13091,exact_normalised_name_team,high,,
660392,12726,exact_normalised_name_team,high,,
672492,14263,exact_normalised_name_team,high,,
215413,9739,exact_normalised_name_team,high,,
111234,741,exact_normalised_name_team,high,,
480455,8476,exact_normalised_name_team,high,,
17761,1665,exact_normalised_name_team,high,,
224967,10291,exact_normalised_name_team,high,,
512462,12014,exact_normalised_name_team,high,,
59949,585,exact_normalised_name_team,high,,
106611,1653,exact_normalised_name_team,high,,
243571,10292,exact_normalised_name_team,high,,
440993,9307,exact_normalised_name_team,high,,
433154,6756,exact_normalised_name_team,high,,
232928,7438,exact_normalised_name_team,high,,
490094,9554,exact_normalised_name_team,high,,
609873,12757,exact_normalised_name_team,high,,
586309,12916,exact_normalised_name_team,high,,
114283,675,exact_normalised_name_team,high,,
496661,10586,exact_normalised_name_team,high,,
513466,11331,exact_normalised_name_team,high,,
80201,181,exact_normalised_name_team,high,,
169528,8940,exact_normalised_name_team,high,,
174874,6314,exact_normalised_name_team,high,,
232892,11728,exact_normalised_name_team,high,,
166477,6157,exact_normalised_name_team,high,,
219924,3203,exact_normalised_name_team,high,,
167074,5973,exact_normalised_name_team,high,,
153133,500,exact_normalised_name_team,high,,
184349,6837,exact_normalised_name_team,high,,
153682,5596,exact_normalised_name_team,high,,
207189,8285,exact_normalised_name_team,high,,
76357,6835,exact_normalised_name_team,high,,
212314,1537,exact_normalised_name_team,high,,
153366,910,exact_normalised_name_team,high,,
218328,7208,exact_normalised_name_team,high,,
631786,13262,exact_normalised_name_team,high,,
59735,780,exact_normalised_name_team,high,,
226182,9205,exact_normalised_name_team,high,,
222694,8717,exact_normalised_name_team,high,,
434752,6807,exact_normalised_name_team,high,,
437738,7791,exact_normalised_name_team,high,,
113564,902,exact_normalised_name_team,high,,
243526,9944,exact_normalised_name_team,high,,
214225,6377,exact_normalised_name_team,high,,
427637,10751,exact_normalised_name_team,high,,
492859,11155,exact_normalised_name_team,high,,
221399,8720,exact_normalised_name_team,high,,
200617,5595,exact_normalised_name_team,high,,
199598,6369,exact_normalised_name_team,high,,
486520,8000,exact_normalised_name_team,high,,
235826,13835,exact_normalised_name_team,high,,
174594,6544,exact_normalised_name_team,high,,
180135,7078,exact_normalised_name_team,high,,
466525,9910,exact_normalised_name_team,high,,
177815,5555,exact_normalised_name_team,high,,
435997,11966,exact_normalised_name_team,high,,
220627,7753,exact_normalised_name_team,high,,
449027,9693,exact_normalised_name_team,high,,
155503,852,exact_normalised_name_team,high,,
216094,9328,exact_normalised_name_team,high,,
544877,11709,exact_normalised_name_team,high,,
122798,1688,exact_normalised_name_team,high,,
97032,833,exact_normalised_name_team,high,,
204716,6326,exact_normalised_name_team,high,,
492777,10120,exact_normalised_name_team,high,,
118748,1250,exact_normalised_name_team,high,,
494595,8397,exact_normalised_name_team,high,,
