web_name,price,weighted_xpts
Raya,6.0,14.681146554323487
Roefs,5.0,13.90934392097928
A.Becker,5.5,13.659578688241062
Donnarumma,5.5,13.520911497577316
Pickford,5.5,13.333874345281457
